PropertyID,Street,ZestimateDate,ZestimateAmount,SaleDate,SaleAmount,ZestimateOnSaleDate,,Delta of FandG,
48672542,N 57TH ST  ,7/1/2002,"$289,773.00",10/17/2002,"$389,000.00","$292,631.00",,,
48672543,N 58TH ST  ,7/1/2002,"$283,584.00",#N/A,#N/A,#N/A,,,
48672545,N 59TH ST  ,7/1/2002,"$349,957.00",9/21/2005,"$480,000.00","$476,696.00",,,
48672546,N 59th St  ,7/1/2002,"$449,032.00",#N/A,#N/A,#N/A,,,
48672547,N 59th St  ,7/1/2002,"$384,256.00",#N/A,#N/A,#N/A,,,
48672548,N 59TH ST  ,7/1/2002,"$307,637.00",9/25/2002,"$300,000.00","$299,911.00",,,
48672550,N 58TH ST  ,7/1/2002,"$350,877.00",5/26/2000,"$300,000.00","$294,862.00",,,
48672551,N 59th St  ,7/1/2002,"$401,948.00",#N/A,#N/A,#N/A,,,
48672552,N 58th St  ,7/1/2002,"$480,005.00",#N/A,#N/A,#N/A,,,
48672553,N 58th St  ,7/1/2002,"$406,121.00",#N/A,#N/A,#N/A,,,
48672554,N 59TH ST  ,7/1/2002,"$557,673.00",4/10/2000,"$605,000.00","$464,307.00",,,
48672555,N 58TH ST  ,7/1/2002,"$371,397.00",#N/A,#N/A,#N/A,,,
48672556,N 58TH ST  ,7/1/2002,"$374,140.00",10/28/1997,"$260,000.00","$226,642.00",,,
48672557,N 59th St  ,7/1/2002,"$242,894.00",#N/A,#N/A,#N/A,,,
48672558,N 59TH ST  ,7/1/2002,"$540,893.00",#N/A,#N/A,#N/A,,,
48672559,N 59TH ST  ,7/1/2002,"$336,221.00",3/6/2002,"$345,000.00","$313,220.00",,,
48672560, GREENWOOD AVE N ,7/1/2002,"$438,883.00",7/8/2004,"$529,950.00","$492,107.00",,,
48672561,N 58TH ST  ,7/1/2002,"$408,765.00",6/10/2005,"$540,000.00","$560,963.00",,,
48672562,N 58TH ST  ,7/1/2002,"$366,462.00",#N/A,#N/A,#N/A,,,
48672563,N 58TH ST  ,7/1/2002,"$367,835.00",#N/A,#N/A,#N/A,,,
48672564, GREENWOOD AVE N ,7/1/2002,"$501,462.00",#N/A,#N/A,#N/A,,,
48672565, GREENWOOD AVE N ,7/1/2002,"$521,519.00",1/16/1998,"$310,500.00","$323,587.00",,,
48672566, Greenwood Ave N ,7/1/2002,"$723,557.00",#N/A,#N/A,#N/A,,,
48672567,N 60TH ST  ,7/1/2002,"$369,416.00",#N/A,#N/A,#N/A,,,
48672568,N 59TH ST  ,7/1/2002,"$337,670.00",5/15/1997,"$200,000.00","$195,026.00",,,
48672569,N 60TH ST  ,7/1/2002,"$295,729.00",7/5/2000,"$310,000.00","$251,355.00",,,
48672570,N 59TH ST  ,7/1/2002,"$374,925.00",3/1/2004,"$509,000.00","$423,514.00",,,
48672571,N 59th St  ,7/1/2002,"$310,022.00",#N/A,#N/A,#N/A,,,
48672572,N 59TH ST  ,7/1/2002,"$360,462.00",1/17/2001,"$329,000.00","$324,570.00",,,
48672573,N 60th St  ,7/1/2002,"$378,176.00",#N/A,#N/A,#N/A,,,
48672574,N 60TH ST  ,7/1/2002,"$263,450.00",#N/A,#N/A,#N/A,,,
48672575,N 60TH ST  ,7/1/2002,"$357,976.00",12/23/2005,"$675,000.00","$537,177.00",,,
48672576,N 59TH ST  ,7/1/2002,"$269,133.00",10/20/1997,"$187,000.00","$163,151.00",,,
48672577,N 59TH ST  ,7/1/2002,"$582,679.00",#N/A,#N/A,#N/A,,,
48672578,N 59TH ST  ,7/1/2006,"$740,952.00",10/18/2002,"$533,000.00","$474,349.00",,,
48672579,N 59th St  ,7/1/2006,"$523,253.00",#N/A,#N/A,#N/A,,,
48672580,N 60th St  ,7/1/2006,"$451,068.00",#N/A,#N/A,#N/A,,,
48673702, DENSMORE AVE N ,7/1/2006,"$560,186.00",7/16/2002,"$370,000.00","$356,038.00",,,
48673703, DENSMORE AVE N ,7/1/2006,"$326,838.00",#N/A,#N/A,#N/A,,,
48673704, DENSMORE AVE N ,7/1/2006,"$545,943.00",#N/A,#N/A,#N/A,,,
48673705, DENSMORE AVE N ,7/1/2006,"$568,862.00",11/28/2000,"$321,000.00","$324,019.00",,,
48673706,N 44TH ST  ,7/1/2006,"$502,604.00",10/22/1996,"$160,000.00","$178,338.00",,,
48673707, DENSMORE AVE N ,7/1/2006,"$683,812.00",#N/A,#N/A,#N/A,,,
48673708, Woodlawn Ave N ,7/1/2006,"$708,200.00",#N/A,#N/A,#N/A,,,
48673709,N 44TH ST  ,7/1/2006,"$587,925.00",#N/A,#N/A,#N/A,,,
